SMILES,Title,gsk3b_rf,jnk3_rf,Score,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
Fc1n[nH]cc1-c1ccc(-c2ccnc(NC3CC3)c2)c2c1OC(F)O2,MARS_0,0.6,0.53,0.62866,-7.25819626907749,-7.03053059933305,356.33200000000005,3.876400000000002,3.838225483459942,0.7423307866297943,72.06,5,2,4,True,CHEMBL113272,0.5107343254452306,CHEMBL1923189,0.5848626756106822,0.08247422680412371,0.1
c1cc(-c2cnc(-c3ccnc(NC4CCC4)n3)nc2)ccn1,MARS_1,0.65,0.58,0.645,-6.76089004031509,-7.3269571158324,304.35699999999997,2.96,2.3764377367747382,0.798280539368249,76.48,6,1,4,True,CHEMBL399139,0.628733407079646,CHEMBL3393595,0.6783108213010403,0.1111111111111111,0.15151515151515152
Fc1ccnc(-c2ccnc(Nc3nccc(F)n3)c2)c1,MARS_2,0.69,0.67,0.65,-8.68622375708674,-7.40622493900089,285.257,2.9554,2.5724146166490662,0.7494851476995917,63.59,5,1,3,True,CHEMBL1630460,0.7838856916054773,CHEMBL4464624,0.6334341906202723,0.1320754716981132,0.0945945945945946
Fc1ccc(-c2ccnc(Nc3nccc(F)n3)c2)nc1,MARS_3,0.64,0.61,0.65,-9.04175504471017,-8.38055796957842,285.257,2.9554,2.4837697238369607,0.7494851476995917,63.59,5,1,3,True,CHEMBL1630460,0.749757140081601,51238049,0.6157831117250907,0.12727272727272726,0.07692307692307693
Fc1nc(-c2ccnc(Nc3ncc(F)c(F)n3)c2)c[nH]1,MARS_4,0.71,0.59,0.6475,-7.48694240461038,-8.30580732914651,292.22399999999993,2.422599999999999,3.197849774278323,0.7246971179045991,79.38,5,2,3,True,13884,0.7249202410492733,CHEMBL248643,0.6544602568552587,0.2153846153846154,0.15625
Fc1ccnc(Nc2ncc(-c3ccccc3)cn2)n1,MARS_5,0.63,0.52,0.63,-6.54936803286755,-7.36910087435162,267.26700000000005,2.816300000000001,2.2431585594070835,0.739150658156226,63.59,5,1,3,True,CHEMBL260344,0.6447209262139277,CHEMBL4777530,0.6977925718290119,0.20689655172413793,0.1076923076923077
c1cc(-c2ccnc(NC3CCC3)n2)cc(NC2CC2)n1,MARS_6,0.76,0.76,0.65,-8.55624722249206,-9.12022465339619,281.363,3.077300000000001,2.3196474035343133,0.8815339216563658,62.730000000000004,5,2,5,True,CHEMBL2391100,0.6800630417651694,CHEMBL507249,0.6755171349181845,0.208955223880597,0.4444444444444444
c1cc(-c2ccnc(NC3CC3)n2)cc(NC2CCOCC2)n1,MARS_7,0.75,0.78,0.65,-8.74994202414375,-9.23137997379989,311.38900000000007,2.7038,2.4607099087204407,0.8843911043797325,71.96000000000001,6,2,5,True,CHEMBL255948,0.6326957561267185,CHEMBL507249,0.7418557974370851,0.28125,0.3898305084745763
Fc1ccnc(Nc2cc(-c3ncc(F)c(F)n3)ccn2)n1,MARS_8,0.57,0.64,0.6425,-9.005240373445,-8.43937312628204,304.23499999999996,2.4895000000000005,2.8184178626812617,0.7491704976673158,76.48,6,1,3,True,CHEMBL1630460,0.7298524404086266,51238049,0.6353790613718411,0.12280701754385964,0.07462686567164178
CNc1nccc(-c2ccnc(NC3CCC3)c2)n1,MARS_9,0.69,0.65,0.65,-7.97120930428872,-8.59687278030294,255.32499999999996,2.5447000000000006,2.3261171952727686,0.8787106128817931,62.730000000000004,5,2,4,True,CHEMBL3410099,0.7183271832718328,CHEMBL507249,0.6806790622473726,0.3103448275862069,0.3793103448275862
