SMILES,Title,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
c1(-c2ccc(-c3cnc(=N)[nH]c3)cc2)ccncc1C,ReINVENT_0,-7.59795264095394,-7.4021565706519,262.3160000000001,2.926590000000001,2.593477864356954,0.7453725777662442,65.42,3,2,2,True,51243427,0.6055122032209862,CHEMBL234838,0.6492400200434274,0.14754098360655737,0.058823529411764705
N(c1cc(-c2cn(-c3ccnc4[nH]c(-c5ccc(F)cc5)cc43)nc2)ccc1)Cc1ccc(F)cc1,ReINVENT_1,-8.74246169764234,-8.44169264750619,477.51800000000014,6.9729000000000045,2.5670674142528522,0.2722823304735422,58.53,4,2,6,True,50234866,0.5825948421786319,CHEMBL3220483,0.520823173705257,0.11578947368421053,0.08823529411764706
c1c(-c2c(-c3ccncc3)[nH]c(-c3c[nH]c4c3ccc(F)c4)n2)cc2c(c1)nccc2N1CCNCC1,ReINVENT_2,-8.22194149918128,-7.15878709249184,489.5580000000003,5.383900000000005,2.858959182381936,0.3094527801235978,85.52,5,3,4,True,CHEMBL2062581,0.5419121447028423,51422453,0.4871423397319812,0.18269230769230768,0.10526315789473684
c1(-c2c(-c3ccncc3)[nH]c(-c3cc(F)cnc3)n2)cc2c(cc1)n(C)cc2,ReINVENT_3,-6.67230899359003,-7.2972275745218,369.4030000000001,4.831500000000004,2.639034749165477,0.4953998043440543,59.39,4,1,3,True,CHEMBL333006,0.5580814717477004,CHEMBL1644640,0.5754343523202111,0.10714285714285714,0.14130434782608695
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(OCCN(C)C)cc3)n2)cncc2c1cccc2,ReINVENT_4,-6.73666874193265,-6.43258192358977,435.5310000000001,5.294300000000003,2.529697349918342,0.3760182864900776,66.93,5,1,7,True,50721049,0.5165101191052581,CHEMBL3393598,0.5049757815940115,0.12244897959183673,0.0782608695652174
c1c(-c2c(-c3ccncc3)[nH]c(-c3ccncc3)n2)cc2c(c1)cc(OC)cc2,ReINVENT_5,-6.62231187242936,-7.47634112325137,378.4350000000001,5.362500000000003,2.3107810217001177,0.4570333746635879,63.69,4,1,4,True,CHEMBL256987,0.603926234384295,CHEMBL232601,0.5554421768707483,0.17647058823529413,0.06896551724137931
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(-c4ccc(C(N)=O)cc4)cc3)n2)cc2c(cc1)cc(F)cc2,ReINVENT_6,-6.55777339474365,-7.17220744330816,484.53400000000016,6.8639000000000046,2.404602072824826,0.28018997586585753,84.66000000000001,3,2,5,True,CHEMBL1809111,0.5064302416212003,CHEMBL1773329,0.5352561101226707,0.15853658536585366,0.1566265060240964
c1(-c2c(-c3ccncc3)[nH]c(-c3ccc(F)cc3)n2)cc2c(c(C=C)ccc2)[nH]1,ReINVENT_7,-7.09495268404353,-8.43693702486142,380.4260000000001,6.069100000000003,2.729334966770095,0.39753439308464644,57.36,2,2,4,True,50932565,0.5850395532805956,CHEMBL1946331,0.5913032705649157,0.14814814814814814,0.10588235294117647
c1ccc(-c2c(-c3ccncc3)[nH]c(-c3ccc(-c4[nH]ccn4)cc3)n2)cc1,ReINVENT_8,-7.06481040342314,-5.33198051878293,363.42400000000004,5.195800000000004,2.356905896311014,0.46118536607746063,70.25,3,2,4,True,CHEMBL558982,0.5904082955281919,CHEMBL1822146,0.5389757534556991,0.19298245614035087,0.10112359550561797
c1(-c2cc3c(-c4ccncc4)c[nH]c3nc2)ccc[nH]c1=NC1CCOCC1,ReINVENT_9,-9.0730152690947,-6.74028773215325,371.44400000000024,3.6997000000000018,3.149500951256069,0.5762734349952179,78.95,4,2,3,True,CHEMBL2391121,0.6335292001439021,CHEMBL3220502,0.48732731426085063,0.10869565217391304,0.12903225806451613
c1(-c2ccncc2)c(-c2cc3c(ncs3)cc2)[nH]c(-c2ccc(-c3csc(=NC(C)=O)[nH]3)cc2)n1,ReINVENT_10,-7.01958298428665,-8.74038913239622,494.60500000000025,5.9192000000000045,3.144890761818454,0.31771065273942817,99.67999999999999,6,2,4,True,CHEMBL3647957,0.46382679105791236,CHEMBL1761562,0.5116497557309283,0.0990990990990991,0.17525773195876287
c1(-c2cc3c(-c4ccncc4)c[nH]c3nc2)ccncc1,ReINVENT_11,-9.38087494340835,-8.22776666014996,272.31100000000004,3.6869000000000014,2.2671864775750254,0.6052054517556368,54.46,3,1,2,True,CHEMBL3968891,0.7346368715083799,CHEMBL400863,0.6054499006528526,0.08196721311475409,0.14925373134328357
c1(-c2c[nH]c3ccc(-c4cncc(CN)c4)cc23)ccncc1,ReINVENT_12,-9.55445238574841,-8.6074442854853,300.36499999999995,3.7506000000000013,2.315009682476097,0.6052303067436339,67.59,3,2,3,True,CHEMBL582853,0.776438167413021,CHEMBL1681992,0.6020542920029347,0.2833333333333333,0.11267605633802817
