SMILES,Title,IC50 (RORg-GAL4),IC50 (DHODH-DCIP),5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh,sim2d_dhodh,sim2d_dhodh_match,sim2d_rorgt,sim2d_rorgt_match,best_3d_sim_rorgt,best_2d_sim_rorgt,best_3d_2d_sim_rorgt,best_3d_match_rorgt,best_2d_match_rorgt,best_3d_2d_match_rorgt,best_3d_sim_dhodh,best_2d_sim_dhodh,best_3d_2d_sim_dhodh,best_3d_match_dhodh,best_2d_match_dhodh,best_3d_2d_match_dhodh
O=C(C1CCCC1)N(CC2)CCN2CC3=C(C)C(NC4=NC5=CC=CC=C5S4)=CC=C3,1,2.62+-1.11,4.52+-1.02,-11.5914009414685,-6.91940830551371,434.60900000000004,5.182720000000005,2.2715003223682455,0.6008820339372448,48.470000000000006,5,1,5,True,51392921,0.6526425954997384,993088,0.5644341801385682,0.3411764705882353,0.2022471910112359,0.3243243243243243,50971946,0.3809523809523809,51392922,0.6526425954997384,0.38095238095238093,0.22676327145987585,51392921,51392922,51251226,0.5644341801385682,0.32432432432432434,0.1404799235293089,993088,50971946,50971946
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(C=CC=C5)O4,2,0.608+-0.107,,-11.6795619673919,-7.61399140924341,418.54100000000005,4.7142200000000045,2.3569980400351955,0.6499419429119813,61.61,5,1,5,True,51392921,0.6395826746759405,51064005,0.518716577540107,0.3493975903614458,0.1555555555555555,0.2926829268292683,51390142,0.3953488372093023,51392917,0.6395826746759405,0.3953488372093023,0.22619387275124725,51392921,51392917,51392921,0.518716577540107,0.2926829268292683,0.1341268880845774,51064005,1045596,1045600
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(C=CC=C5)N4,3,,,-11.6352494407656,-7.73030358560575,417.557,4.449320000000003,2.336164903940521,0.6437944848696361,64.25999999999999,4,2,5,True,51392921,0.7238211202125304,50319906,0.5494024754588135,0.3452380952380952,0.1020408163265306,0.3375,51390142,0.3855421686746988,51392922,0.7238211202125304,0.3855421686746988,0.25290135525498053,51392921,51392922,51392921,0.5494024754588135,0.3375,0.12810818138975383,50319906,1045596,1045601
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC(NC4=CC=CC=C4)=O,4,0.077+-0.007,11.3+-2.2,-12.4056862181083,-8.21875905433879,420.557,4.4734200000000035,2.0658360112947047,0.7499273639325368,64.68,3,2,5,True,51245723,0.6851932736405328,50319906,0.5365544888701339,0.325,0.1264367816091954,0.3114754098360656,50565528,0.4657534246575342,51392922,0.6851932736405328,0.4657534246575342,0.2858968367555569,51245723,51392922,51392921,0.5365544888701339,0.3114754098360656,0.1279895397701041,50319906,50565528,52786
O=C(C1CCCC1)N(CC2)CCN2CC3=C(C)C(NC(NC4=CC=CC=C4)=S)=CC=C3,5,0.057+-0.006,,-13.4383016547995,-6.7731250805749,436.625,4.638320000000004,2.1377744728331667,0.6690085430702624,47.61000000000001,3,2,5,True,51392915,0.6947337102052961,1045601,0.5637407551576489,0.3296703296703296,0.1413043478260869,0.2948717948717949,51390142,0.4533333333333333,51392922,0.6947337102052961,0.4533333333333333,0.27027297353615337,51392915,51392922,51392921,0.5637407551576489,0.2948717948717949,0.1388508602658553,1045601,1045596,297791
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC(C4=NC5=CC=CC=C5S4)=O,6,,8.43+-2.73,-11.7742691566042,-8.42524352555338,462.6190000000001,4.691420000000004,2.3229751800135023,0.5973720414250353,65.53999999999999,5,1,5,True,51251223,0.6888543286677035,51406345,0.5502174772637406,0.25,0.2083333333333333,0.2987012987012987,50971946,0.4047619047619047,51251226,0.6888543286677035,0.40476190476190477,0.2770873215282763,51251223,51251226,51251226,0.5502174772637406,0.2987012987012987,0.13254618167968008,51406345,50971946,1100169
O=C(C1CCCC1)N(CC2)CCN2CC3=C(C)C(NC(S4)=NC=C4C5=CC=CC=C5)=CC=C3,7,,,-11.9298261038945,-8.07015663697833,460.64700000000005,5.696520000000006,2.3793823618136614,0.5128639913465326,48.470000000000006,5,1,6,True,51392921,0.6265867066466766,297834,0.4817843190696829,0.3411764705882353,0.1578947368421052,0.3214285714285714,220020,0.3975903614457831,51392922,0.6265867066466766,0.39759036144578314,0.22647712288434094,51392921,51392922,51392921,0.4817843190696829,0.32142857142857145,0.14110336064380355,297834,220020,220020
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC(C5=CC=CC=C5)=CS4,8,,,-12.1969746048678,-8.4655722557893,460.64700000000005,5.696520000000006,2.2857052801324578,0.5128639913465326,48.47,5,1,6,True,493390,0.5607813547954392,220020,0.496726992683866,0.2,0.2446808510638297,0.3333333333333333,CHEMBL3949527,0.4047619047619047,51392922,0.5607813547954392,0.40476190476190477,0.20307748570415357,493390,51392922,51251226,0.496726992683866,0.3333333333333333,0.14111562292155286,220020,CHEMBL3949527,220020
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC=CS4,9,,,-10.3516385429275,-7.08802897692097,384.549,4.029520000000002,2.309009700883786,0.845516709687108,48.47,5,1,5,True,51251217,0.645386207647892,993101,0.650887573964497,0.3370786516853932,0.1702127659574468,0.2705882352941176,1045616,0.425287356321839,51392915,0.645386207647892,0.42528735632183906,0.25395255423815194,51251217,51392915,51251226,0.650887573964497,0.27058823529411763,0.12996066421442165,993101,1045616,993087
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(N=CC=C5)S4,10a,1.42+-0.13,7.55+-2.44,-11.406305130872,-7.80273678807937,435.59700000000004,4.577720000000004,2.437007507490817,0.6357245231805844,61.36,6,1,5,True,51392921,0.6299171842650104,50319904,0.561175442429539,0.3333333333333333,0.125,0.2696629213483146,1045616,0.388235294117647,51251226,0.6299171842650104,0.38823529411764707,0.21241393422889884,51392921,51251226,51392921,0.561175442429539,0.2696629213483146,0.11817694533427159,50319904,1045616,993088
