SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
CC1CCCCN1C(=O)c1nc(-c2nnc(CC(C)(C)C(=O)O)o2)sc1-c1ccc(S(=O)(=O)NC(C)C(F)(F)F)c(F)c1C(F)F,51343137,0.1,-6.36115118977882,-6.31646410139208,697.6800000000004,5.833800000000005,4.354555894955654,0.24894576842931967,155.59,9,2,10,True,51343137,1.0,1045616,0.41129466000768344,1.0,0.17391304347826086
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)C(N)=O)nc2CC2CCCCC2)c2ccccc12,50919295,0.37,-9.40166635177631,-0.291983098601846,584.8080000000004,5.404200000000005,3.100637081535533,0.30976340102515476,131.25,6,3,9,True,50919295,1.0,51126183,0.2997816934352098,1.0,0.18681318681318682
Cn1cc2c(n1)CCN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,708998,0.5,-9.28620766966772,-6.00657695071831,670.0629999999999,5.7465000000000055,4.037893580539754,0.27136532146678166,110.32,7,1,5,True,708998,1.0,1020531,0.39105399901692295,1.0,0.20610687022900764
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCn4ncnc4C2)C3)c(F)c1,708999,0.5,-9.12915600821674,-1.75095950013846,657.024,5.062000000000003,4.0797012295089505,0.29799801979848606,123.20999999999998,8,1,5,True,708999,1.0,51126183,0.08479716921521552,1.0,0.17592592592592593
COC1CN(C(=O)C2CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)F)CC4)c3C2)C1,708974,0.5,-7.69402801548511,-4.78683763693339,602.0089999999999,4.988100000000005,3.8531704217006135,0.4095656014111662,101.72999999999999,6,1,7,True,708974,1.0,CHEMBL3818257,0.38985920513277494,1.0,0.14563106796116504
Cn1ncc2c1CN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,708996,0.5,-9.69141078279128,,656.0360000000001,5.704000000000004,4.0310631389577685,0.2762678850297569,110.32,7,1,5,True,708996,1.0,,,1.0,
CN(C(=O)C1CCc2c(-c3ccc(C(=O)O)cc3F)nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c2C1)c1cnn(C)c1,709001,0.6,-7.10867615356617,-5.95723591350417,644.0249999999997,5.824600000000005,4.014377173306144,0.2651318071714482,110.32,7,1,6,True,709001,1.0,1020521,0.3825494111975759,1.0,0.13970588235294118
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCC4(CCCO4)C2)C3)c(F)c1,708973,0.6,-11.1987082210811,-6.65572076358106,660.064,6.2096000000000044,4.6981247696977135,0.32710658018633276,101.72999999999999,6,1,5,True,708973,1.0,1020531,0.38351355146749055,1.0,0.1984732824427481
Cc1nc2c([nH]1)CN(C(=O)C1CCc3c(-c4ccc(C(=O)O)cc4F)nn(C(=O)c4c(Cl)cccc4C4(C(F)(F)F)CC4)c3C1)C2,709000,0.6,-7.17655178863983,,656.036,6.002020000000004,4.1150842170922335,0.25451351877143613,121.18,6,2,5,True,709000,1.0,,,1.0,
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(C(F)(F)F)CC3)c3c2CCC(C(=O)N2CCc4[nH]ncc4C2)C3)c(F)c1,708997,0.6,-9.67259591846408,-5.62418789812317,656.0360000000001,5.736100000000003,4.018075027585873,0.264865316106715,121.17999999999999,6,2,5,True,708997,1.0,1020504,0.40254296492943975,1.0,0.15267175572519084
CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc(OC(C)c3ccccc3)c(Cl)c2)cc1,50990871,0.6,-10.1511631337155,-11.3563164342388,458.9670000000001,4.8498000000000046,2.7283882068824994,0.5211282933820728,85.36,5,1,8,True,50990871,1.0,220006,0.4925685785536159,1.0,0.20430107526881722
