SMILES,Title,IC50nM
CCn1c(C(=O)OC)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O,1098849,0.0
CONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12,51370198,0.12
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3ccc(C)c(N)n3)c(F)cc2c1=O,1121364,0.18
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O,51423569,0.2
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)O,1121395,0.22
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226000,0.222
C=C(c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12)C(F)(F)F,1226070,0.226
C=C(C)c1cn(-c2cccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226059,0.24
C=C(C)c1cn(-c2cc(F)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226071,0.249
CCn1c(CO)nn(-c2cc3c(C(C)C(F)(F)F)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226091,0.26
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360201,0.265
C=C(C)c1cn(-c2c(F)ccc(OC)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,51360202,0.267
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)c1=O,1226069,0.273
C=C(C)c1cn(-c2c(C)n[nH]c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226049,0.286
C=C(C)c1cn(-c2cc(C)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226076,0.292
CCn1c(CO)nn(-c2cc(OC(C)C(F)(F)F)c3c(Oc4c(F)ccc(OC)c4Cl)nccc3c2)c1=O,51423568,0.3
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1C(C)O,1121393,0.3
C=C(C)c1nn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226016,0.32
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,1226025,0.356
CCn1c(CO)nn(-c2nc(OC(C)C(F)(F)F)c3c(Nc4c(F)cccc4Cl)nncc3c2F)c1=O,51423571,0.38
Cc1cn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1C(C)(C)O,1121397,0.38
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O,1121366,0.38
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)c1=O,51360203,0.396
