SMILES,Title,IC50nM
CCn1c(nn(-c2cc(O[C@@H](C)C(F)(F)F)c(cc2F)C(=O)Nc2c(F)cccc2F)c1=O)C(=O)OC,1098849,0
CONC(=O)c1c(C)c(nc2ccc(F)cc12)-c1ccc(cc1)-c1ccccc1F,51370198,0.12
CONC(=O)c1c(C)c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc12,CHEMBL4744558,0.12
CC(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(cc12)-c1ccc(C)c(N)n1,1121364,0.18
CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O,51423569,0.2
CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c3c(Oc4c(F)cccc4Cl)nncc3c2F)c1=O,CHEMBL4854356,0.2
C[C@@H](O)c1nn(cc1C)-c1cc(O[C@@H](C)C(F)(F)F)c(cc1F)C(=O)Nc1c(C)n[nH]c1Cl,1121395,0.22
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)C(C)C)c1=O,1226000,0.222
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)C(C)C)c1=O,51360204,0.222
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)c1=O,CHEMBL4791380,0.222
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C)c(=O)c3cc2F)C(=C)C(F)(F)F)c1=O,1226070,0.226
CCn1c(CO)nn(-c2cc3c(cn(-c4cccc(OC)c4Cl)c(=O)c3cc2F)C(C)=C)c1=O,1226059,0.24
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(F)ccc4C)c(=O)c3cc2F)C(C)=C)c1=O,1226071,0.249
CCn1c(CO)nn(-c2cc3c(cn(-c4cc(F)ccc4C)c(=O)c3cc2F)C(C)=C)c1=O,51360199,0.249
C=C(C)c1cn(-c2cc(F)ccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,CHEMBL4753279,0.249
C[C@H](O)c1nn(cc1C)-c1cc(O[C@@H](C)C(F)(F)F)c(cc1F)C(=O)Nc1c(C)n[nH]c1Cl,1121396,0.26
CCn1c(CO)nn(-c2cc3c(cn(-c4ccccc4C)c(=O)c3cc2F)[C@@H](C)C(F)(F)F)c1=O,1226091,0.26
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)C(C)=C)c1=O,51360201,0.265
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)cccc4Cl)c(=O)c3cc2F)C(C)=C)c1=O,1226041,0.265
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,CHEMBL4745588,0.265
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)C(C)=C)c1=O,51360202,0.267
CCn1c(CO)nn(-c2cc3c(cn(-c4c(F)ccc(OC)c4Cl)c(=O)c3cc2F)C(C)=C)c1=O,1226040,0.267
