SMILES,Title,IC50nM
O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,CHEMBL2386094,0.013
COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)C(C)C2)cc1,CHEMBL4084855,0.1
Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,CHEMBL3895998,0.1
Cc1ccc(-c2c[nH]c(C3COCCN3Cc3c[nH]c4ccccc34)n2)cc1,51189863,0.12
COc1cc(C2=C(c3cn(CCN4CCN(C)CC4)c4ccccc34)C(=O)NC2=O)c2occc2c1,CHEMBL564450,0.14
Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCNCC1,CHEMBL3957649,0.2
CC1CN(c2ccccc2F)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4077376,0.2
O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12,CHEMBL2386090,0.2
Nc1ncc(-c2ccccc2)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,CHEMBL3963605,0.2
COc1cccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)C(C)C2)c1,CHEMBL4063206,0.2
COc1ccc(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC(N)CC3)n2)cc1,CHEMBL3942619,0.2
COc1cccc(OC)c1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,CHEMBL3091542,0.23
COCc1cccc2c(C3=C(c4coc5ccccc45)C(=O)NC3=O)cn(C)c12,CHEMBL491647,0.23
COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,CHEMBL4076186,0.25
NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,CHEMBL3410091,0.29
O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,51159556,0.3
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)ccc21,CHEMBL477038,0.35
NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OC1CCC1,CHEMBL3410092,0.37
Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(Cl)ccc21,CHEMBL1082153,0.4
CC1CN(c2ccc(F)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4076060,0.4
COc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,CHEMBL4087402,0.4
CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,CHEMBL3410090,0.45
COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,CHEMBL3091541,0.47
CC1CN(c2cccc(F)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4095848,0.5
COc1ccc(-c2c[nH]c3ncc(C=CC(=O)NCc4ccncc4)cc23)cc1,CHEMBL4468662,0.508
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(Br)ccc21,CHEMBL489833,0.51
O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCC(N4CCCCC4)CC2)CC3)=C1c1coc2ccccc12,CHEMBL2386093,0.53
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],CHEMBL1080901,0.56
