SMILES,Title,IC50nM
O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,CHEMBL2386094,0.013
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4coc5ccccc45)c(c1)c23)C(=O)N1CCOCC1,51194932,0.013
COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)cc1,CHEMBL4084855,0.1
Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,CHEMBL3895998,0.1
COc1ccc(cc1)N1CCN([C@H](C)C1)c1nc(cc(=O)n1C)-c1ccncn1,50891625,0.1
NC1CCN(CC1)c1ccncc1NC(=O)c1nc(cnc1N)-c1ccccc1F,438359,0.1
Cc1ccc(cc1)-c1c[nH]c(n1)C1COCCN1Cc1c[nH]c2ccccc12,51189863,0.12
COc1cc(C2=C(c3cn(CCN4CCN(C)CC4)c4ccccc34)C(=O)NC2=O)c2occc2c1,CHEMBL564450,0.14
COc1cc(C2=C(C(=O)NC2=O)c2cn(CCN3CCN(C)CC3)c3ccccc23)c2occc2c1,50506653,0.14
Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCNCC1,CHEMBL3957649,0.2
C[C@@H]1CN(c2ccccc2F)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4077376,0.2
O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12,CHEMBL2386090,0.2
Nc1ncc(-c2ccccc2)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,CHEMBL3963605,0.2
COc1cccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)c1,CHEMBL4063206,0.2
COc1ccc(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC(N)CC3)n2)cc1,CHEMBL3942619,0.2
O=C(N1CCn2cc(C3=C(C(=O)NC3=O)c3coc4ccccc34)c3cccc(C1)c23)c1cnccn1,51194950,0.2
NC1CCN(CC1)c1ccncc1NC(=O)c1nc(cnc1N)-c1ccccc1,438361,0.2
Nc1ncc(nc1C(=O)Nc1cnccc1N1CCNCC1)-c1ccccc1F,438363,0.2
COc1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1cnccc1N1CCC(N)CC1,438362,0.2
COc1cccc(c1)N1CCN([C@H](C)C1)c1nc(cc(=O)n1C)-c1ccncn1,50891624,0.2
C[C@@H]1CN(CCN1c1nc(cc(=O)n1C)-c1ccncn1)c1ccccc1F,50891635,0.2
COc1cccc(OC)c1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,CHEMBL3091542,0.23
COCc1cccc2c(C3=C(c4coc5ccccc45)C(=O)NC3=O)cn(C)c12,CHEMBL491647,0.23
COCc1cccc2c(cn(C)c12)C1=C(C(=O)NC1=O)c1coc2ccccc12,50457170,0.23
COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,CHEMBL4076186,0.25
NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,CHEMBL3410091,0.29
NC(=O)c1sc(nc1OCC1CC1)-c1ccnc(NC(=O)C2CC2)c1,50316026,0.29
O=C(N1CCCCC1)N1CCn2cc(C3=C(C(=O)NC3=O)c3cnc4cccnn34)c3cccc(C1)c23,51159556,0.3
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)ccc21,CHEMBL477038,0.35
Cn1cc(C2=C(C(=O)NC2=O)c2coc3cc(CO)ccc23)c2cc(F)ccc12,50457139,0.35
NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OC1CCC1,CHEMBL3410092,0.37
NC(=O)c1sc(nc1OC1CCC1)-c1ccnc(NC(=O)C2CC2)c1,50316025,0.37
Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(Cl)ccc21,CHEMBL1082153,0.4
C[C@@H]1CN(c2ccc(F)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4076060,0.4
COc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,CHEMBL4087402,0.4
C[C@@H]1CN(CCN1c1nc(cc(=O)n1C)-c1ccncn1)c1ccc(F)cc1,50891795,0.4
Cn1cc(C2=C(C(=O)NC2=O)c2cccc(NCC(O)CO)c2)c2cc(Cl)ccc12,50910090,0.4
CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,CHEMBL3410090,0.45
CC(C)Oc1nc(sc1C(N)=O)-c1ccnc(NC(=O)C2CC2)c1,50316027,0.45
COc1cc(F)ccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,CHEMBL3091541,0.47
C[C@@H]1CN(c2cccc(F)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,CHEMBL4095848,0.5
C[C@@H]1CN(CCN1c1nc(cc(=O)n1C)-c1ccncn1)c1cccc(F)c1,50891788,0.5
COc1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,CHEMBL4468662,0.508
COc1ccc(cc1)-c1c[nH]c2ncc(\C=C\C(=O)NCc3ccncc3)cc12,51320399,0.508
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(Br)ccc21,CHEMBL489833,0.51
Cn1cc(C2=C(C(=O)NC2=O)c2coc3cc(CO)ccc23)c2cc(Br)ccc12,50457152,0.51
O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCC(N4CCCCC4)CC2)CC3)=C1c1coc2ccccc12,CHEMBL2386093,0.53
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4coc5ccccc45)c(c1)c23)C(=O)N1CCC(CC1)N1CCCCC1,51194961,0.53
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],CHEMBL1080901,0.56
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(n2)-c2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,50910132,0.56
C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940976,0.57
C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c2n1cc(C#N)c3=O,50713721,0.57
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],CHEMBL1080901,0.58
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(n2)-c2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,50917452,0.58
O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)Cc2ccncc2)CC3)=C1c1coc2ccccc12,CHEMBL2386091,0.59
O=C(Cc1ccncc1)N1CCn2cc(C3=C(C(=O)NC3=O)c3coc4ccccc34)c3cccc(C1)c23,51194959,0.59
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],CHEMBL1080901,0.6
Nc1nc(NCCNc2ncc(-n3ccnc3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],CHEMBL3185148,0.6
C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940990,0.6
Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,CHEMBL1082152,0.6
Nc1nc(NCCNc2ncc(c(n2)-c2ccc(Cl)cc2Cl)-n2ccnc2)ccc1[N+]([O-])=O,50763077,0.6
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(n2)-c2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,50763120,0.6
C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c2n1cc(C#N)c3=O,50713735,0.6
Cn1c(N2CCO[C@@H](c3c(F)cccc3Cl)C2)nc(-c2ccncn2)cc1=O,CHEMBL3091544,0.64
CCCC1=C(c2nnc(C)o2)C(c2cccc(C#N)c2Br)c2c[nH]nc2N1,CHEMBL270265,0.7
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4cnc5ccccn45)c(c1)c23)C(=O)N1CCCCC1,50826172,0.7
CCCC1=Nc2[nH]ncc2C(C1c1nnc(C)o1)c1cccc(C#N)c1Br,50855581,0.7
O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,CHEMBL181031,0.7079
