SMILES,Title,IC50nM
CC(Oc1cc(C(=O)N(C)C)ccc1Nc1nc(OC2CCC(C)(O)CC2)c2c(Cl)c[nH]c2n1)C(F)(F)F,CHEMBL4546504,0.107
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,CHEMBL3220502,0.16
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,CHEMBL3220499,0.25
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,CHEMBL3220493,0.28
COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,CHEMBL3220497,0.28
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1,CHEMBL4077018,0.3
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,CHEMBL3220496,0.3
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,CHEMBL3220498,0.31
COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL3220494,0.42
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4c(-c5ccccc5)nn5ccccc45)n3)cc2)c1,CHEMBL3393608,0.5
Cc1ccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)cc1NC(=O)C=CCN(C)C,188576,0.5
Cc1ccc(NC(=O)C=CCN(C)C)cc1C(=O)Nc1ccc(Nc2nccc(-c3cccnc3)n2)cc1,188575,0.5
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,CHEMBL4062023,0.6
CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,CHEMBL3393607,0.7
N#Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL3220500,0.77
COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,CHEMBL3220495,0.78
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,188571,0.96
Cc1cc(NC(=O)c2cccc(NC(=O)C=CCN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,188574,0.98
Oc1onc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)c1-c1ccc(F)cc1,CHEMBL3099975,1.0
O=C(NC1CC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4861739,1.0
[H]C([H])([H])N1CCC(NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)cs2)C1,CHEMBL4875508,1.0
NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl,CHEMBL3217784,1.2
O=C(NC1CCNCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL194806,1.259
CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,CHEMBL437747,1.6
CCCn1c(C2CCN(C)CC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CC2)n1,50383517,1.6
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,CHEMBL399167,1.9
Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(NC2CCC(N)CC2)n1,CHEMBL3356001,1.9
NC1CCC(Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,CHEMBL3355999,1.9
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1C,CHEMBL4086457,2.0
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4C)ccn3)cc2)c1,CHEMBL4082278,2.0
CCC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,CHEMBL4069805,2.0
N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2ncn[nH]2)c1,CHEMBL1822151,2.0
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c(C)c2)c1,CHEMBL4092555,2.0
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)ncc32)cs1,CHEMBL4877727,2.0
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,CHEMBL4857979,2.0
N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3ncn[nH]3)c2c1,CHEMBL1822152,2.0
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(F)cc32)cs1,CHEMBL4874573,2.0
O=C(NC1CCOC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4874575,2.0
CC(C)NC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4865870,2.0
O=C(NC1CCOCC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4867426,2.0
N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2nnc[nH]2)c1,50659455,2.0
N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3nnc[nH]3)c2c1,50659456,2.0
