SMILES,Title,IC50nM
C[C@@H](Oc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(Cl)c[nH]c2n1)C(F)(F)F,CHEMBL4546504,0.107
C[C@@H](Oc1cc(ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(Cl)c[nH]c2n1)C(=O)N(C)C)C(F)(F)F,51252998,0.107
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,CHEMBL3220502,0.16
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,CHEMBL3220502,0.16
NC(=O)c1ccccc1Nc1nc(Nc2ccc(cc2)N2CCCC2=O)ncc1Cl,50292327,0.16
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,CHEMBL3220499,0.25
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,CHEMBL3220493,0.28
COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,CHEMBL3220497,0.28
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1,CHEMBL4077018,0.3
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,CHEMBL3220493,0.3
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,CHEMBL3220496,0.3
CSc1nc(c(-c2ccnc(Nc3ccc(NC(=O)c4cccc(NC(=O)C=C)c4)cc3)c2)n1C)-c1ccc(F)cc1,50716636,0.3
NC(=O)c1ccccc1Nc1nc(Nc2ccc(cc2)N2CCOCC2)ncc1Cl,50292325,0.3
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,CHEMBL3220498,0.31
COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL3220494,0.42
CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4c(-c5ccccc5)nn5ccccc45)n3)cc2)c1,CHEMBL3393608,0.5
CN(C)C\C=C\C(=O)Nc1cc(ccc1C)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,188576,0.5
CN(C)C\C=C\C(=O)Nc1ccc(C)c(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,188575,0.5
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2c(nn3ccccc23)-c2ccccc2)cc1,188577,0.5
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2c(nn3ccccc23)-c2ccccc2)cc1,50292347,0.5
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,CHEMBL4062023,0.6
CSc1nc(c([nH]1)-c1ccnc(Nc2ccc(NC(=O)c3cccc(NC(=O)C=C)c3)cc2)c1)-c1ccc(F)cc1,50716637,0.6
CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,CHEMBL3393607,0.7
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,50292345,0.7
CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,CHEMBL3393607,0.75
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,188573,0.75
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,51390374,0.75
N#Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL3220500,0.77
COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,CHEMBL3220495,0.78
COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,CHEMBL3220495,0.8
COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1)N1CCOCC1,50292326,0.8
C=CC(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)cc1,188571,0.96
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)c(C)c1,188574,0.98
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)c(C)c1,50982961,0.98
Oc1onc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)c1-c1ccc(F)cc1,CHEMBL3099975,1
Cc1cc(NC(=O)c2cccc(NC(=O)/C=C/CN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,CHEMBL2216824,1
O=C(NC1CC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4861739,1
[2H]C([2H])([2H])N1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)cs2)C1,CHEMBL4875508,1
Cc1cc(NC(=O)c2cccc(NC(=O)/C=C/CN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,CHEMBL2216824,1
[2H]C([2H])([2H])N1CC[C@@H](C1)NC(=O)c1cc(cs1)-n1ncc2cc(Nc3ccccc3Cl)ccc12,51429788,1
Fc1cc2n(ncc2cc1Nc1ccccc1Cl)-c1csc(c1)C(=O)NC1CC1,51429786,1
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)c(C)c1,50766612,1
CN(C)C\C=C\C(=O)Nc1cccc(c1)C(=O)Nc1ccc(Nc2nccc(n2)-c2cccnc2)c(C)c1,50292346,1
Oc1onc(c1-c1ccc(F)cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)c1,51204062,1
NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl,CHEMBL3217784,1.2
O=C(NC1CCNCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL194806,1.259
Clc1ccccc1Nc1ccc2c(n[nH]c2c1)-c1cccc(c1)C(=O)NC1CCNCC1,51014786,1.26
O=C(NC1CCNCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,CHEMBL194806,1.4
Clc1ccccc1Nc1ccc2c(n[nH]c2c1)-c1cccc(c1)C(=O)NC1CCNCC1,50319406,1.4
CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,CHEMBL437747,1.6
CCCn1c(nc(c1-c1ccnc(NC2CCCCC2)n1)-c1ccc(Cl)c(Cl)c1)C1CCNCC1,50616137,1.6
CCCn1c(nc(c1-c1ccnc(NC2CCCCC2)n1)-c1ccc(Cl)c(Cl)c1)C1CCNCC1,29065,1.6
CCCn1c(nc(c1-c1ccnc(NC2CC2)n1)-c1ccc(Cl)c(Cl)c1)C1CCN(C)CC1,50383517,1.6
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,CHEMBL399167,1.9
Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@H](N)CC2)n1,CHEMBL3356001,1.9
N[C@H]1CC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,CHEMBL3355999,1.9
CN(C)CCNC(=O)c1ccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)cc1,CHEMBL399167,1.9
N[C@H]1CC[C@@H](CC1)Nc1nccc(n1)-c1cccnc1Oc1ccc(Nc2nc3ccccc3[nH]2)c2ccccc12,50265049,1.9
Cc1cc(Nc2nc3ccccc3[nH]2)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@H](N)CC2)n1,50265047,1.9
CN(C)CCNC(=O)c1ccc(cc1)-c1n[nH]c2cc(Nc3ccccc3Cl)ccc12,50383519,1.9
