SMILES,Title,IC50nM
C[C@H](NS(=O)(=O)c1ccc(-c2sc(nc2C(=O)N2CCCC[C@@H]2C)-c2nnc(CC(C)(C)C(O)=O)o2)c(C(F)F)c1F)C(F)(F)F,51343137,0.1
C[C@H]1CCCCN1C(=O)c1nc(-c2nnc(CC(C)(C)C(=O)O)o2)sc1-c1ccc(S(=O)(=O)N[C@@H](C)C(F)(F)F)c(F)c1C(F)F,CHEMBL4635823,0.1
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)C(=O)NCC(C)(C)C(N)=O)c2ccccc12,50919295,0.37
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)C(N)=O)nc2CC2CCCCC2)c2ccccc12,CHEMBL4127127,0.37
Cn1cc2CN(CCc2n1)C(=O)C1CCc2c(C1)n(nc2-c1ccc(cc1F)C(O)=O)C(=O)c1c(Cl)cccc1C1(CC1)C(F)(F)F,708998,0.5
OC(=O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(CC3)C(F)(F)F)c3CC(CCc23)C(=O)N2CCn3ncnc3C2)c(F)c1,708999,0.5
COC1CN(C1)C(=O)C1CCc2c(C1)n(nc2-c1ccc(cc1F)C(O)=O)C(=O)c1c(Cl)cccc1C1(CC1)C(F)F,708974,0.5
Cn1ncc2CN(Cc12)C(=O)C1CCc2c(C1)n(nc2-c1ccc(cc1F)C(O)=O)C(=O)c1c(Cl)cccc1C1(CC1)C(F)(F)F,708996,0.5
CN(C(=O)C1CCc2c(C1)n(nc2-c1ccc(cc1F)C(O)=O)C(=O)c1c(Cl)cccc1C1(CC1)C(F)(F)F)c1cnn(C)c1,709001,0.6
OC(=O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(CC3)C(F)(F)F)c3CC(CCc23)C(=O)N2CCC3(CCCO3)C2)c(F)c1,708973,0.6
Cc1nc2CN(Cc2[nH]1)C(=O)C1CCc2c(C1)n(nc2-c1ccc(cc1F)C(O)=O)C(=O)c1c(Cl)cccc1C1(CC1)C(F)(F)F,709000,0.6
OC(=O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C3(CC3)C(F)(F)F)c3CC(CCc23)C(=O)N2CCc3[nH]ncc3C2)c(F)c1,708997,0.6
